,Area,Location,No. of Bedrooms,New/Resale,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Clubhouse,Gas Connection,Price_in_Lakhs
2698,1060,Mira Road East,2,1,1,0,0,0,1,1,75.0
2699,960,Mira Road East,2,1,1,0,0,0,1,1,76.0
2700,1525,Mira Road East,3,1,1,1,1,1,1,1,132.0
2701,945,Mira Road East,2,0,1,1,0,1,1,1,85.0
2702,645,Mira Road East,1,0,1,1,0,1,1,0,56.0
2703,645,Mira Road East,1,0,1,1,0,1,1,1,56.0
2704,380,Mira Road East,1,0,0,0,0,0,0,1,34.0
2705,850,Mira Road East,2,0,1,1,0,1,0,1,66.0
2706,950,Mira Road East,3,0,1,1,0,1,0,1,70.0
2707,975,Mira Road East,2,0,0,0,0,0,0,0,76.0
2708,975,Mira Road East,2,0,1,0,0,0,0,1,76.0
2709,756,Mira Road East,1,1,1,1,0,1,1,1,61.9
2710,1017,Mira Road East,2,1,1,0,0,0,1,1,89.0
2711,500,Mira Road East,1,0,1,0,0,0,0,1,47.0
2712,560,Mira Road East,1,0,0,0,0,0,1,1,56.0
2713,540,Mira Road East,1,0,1,0,0,0,0,1,57.0
2714,960,Mira Road East,2,1,1,1,0,0,1,1,78.0
2715,1050,Mira Road East,2,1,1,1,0,1,1,1,88.0
2716,769,Mira Road East,1,1,1,1,0,1,0,0,59.5
2717,769,Mira Road East,1,1,1,1,0,1,0,0,61.52
2718,1460,Mira Road East,3,0,1,1,0,1,1,0,148.0
2719,610,Mira Road East,1,0,1,0,0,0,0,1,53.5
2720,786,Mira Road East,3,1,1,1,0,1,1,0,98.0
2721,1098,Mira Road East,2,1,1,1,0,1,1,0,85.0
2722,693,Mira Road East,1,1,1,1,0,1,1,0,65.0
2723,981,Mira Road East,2,1,1,1,0,1,1,0,83.0
2724,1386,Mira Road East,3,1,1,1,0,1,1,0,120.0
2725,960,Mira Road East,2,1,1,0,0,0,1,0,93.0
2726,675,Mira Road East,1,0,1,1,0,1,0,0,54.0
2727,550,Mira Road East,1,0,0,0,0,0,0,1,44.0
2728,1180,Mira Road East,2,1,1,1,0,1,1,0,108.0
2729,995,Mira Road East,2,1,1,0,0,0,1,1,72.0
2730,1020,Mira Road East,2,1,1,0,0,0,1,1,70.0
2731,810,Mira Road and Beyond,2,0,1,1,1,1,0,0,60.0
2732,700,Mira Road and Beyond,2,0,0,1,1,1,1,0,42.0
2733,1417,Mira Road and Beyond,3,0,1,1,1,1,1,0,98.0
2734,783,Mira Road and Beyond,2,0,1,1,1,1,0,0,35.0
2735,770,Mira Road and Beyond,1,0,1,1,1,1,0,0,58.0
2736,400,Mira Road and Beyond,1,0,1,1,1,1,0,0,27.0
2737,750,Mira Road and Beyond,2,0,1,1,1,1,1,0,42.0
2738,1180,Mira Road and Beyond,2,0,1,1,1,1,0,0,64.0
2739,565,Mira Road and Beyond,1,0,1,1,1,1,0,0,35.0
2740,320,Mira Road and Beyond,1,0,0,0,0,1,0,1,30.0
2741,400,Mira Road and Beyond,1,0,0,1,1,1,0,0,28.0
2742,890,Mira Road and Beyond,2,0,1,1,1,1,0,0,68.0
2743,590,Mira Road and Beyond,1,0,0,1,1,1,0,0,41.0
2744,940,Mira Road and Beyond,2,0,0,1,1,1,0,0,65.0
2745,1760,Mira Road and Beyond,2,0,0,1,1,1,0,0,76.0
2746,1180,Mira Road and Beyond,2,0,0,1,1,1,0,0,64.0
2747,900,Mira Road and Beyond,2,0,1,1,1,1,0,0,57.0
2748,620,Others,1,0,0,0,0,0,0,0,33.0
2749,1412,Others,3,0,1,1,0,0,1,1,218.0
2750,1412,Others,3,0,1,1,0,0,1,1,212.0
